,k,FDM_1DL
0,7.067108205000749e-06,1.7542843046050737e-13
1,7.80348441752294e-06,2.353850899318971e-13
2,8.616588808314736e-06,3.158332938153694e-13
3,9.514417786490776e-06,4.2377648357975074e-13
4,1.0505797403918403e-05,5.686115711949162e-13
5,1.1600477646718717e-05,7.629475852808748e-13
6,1.2809219991660392e-05,1.0237021943223803e-12
7,1.4143910066134958e-05,1.3735749842075247e-12
8,1.561767275726197e-05,1.8430248986787752e-12
9,1.7244998342078724e-05,2.4729195368547285e-12
10,1.904188698620419e-05,3.318094368013552e-12
11,2.1026005488152442e-05,4.452123942607837e-12
12,2.3216867290380104e-05,5.973733270780071e-12
13,2.5636010041203915e-05,8.015382490694613e-12
14,2.8307222139316217e-05,1.0754805624431626e-11
15,3.12567680537355e-05,1.4430477806333357e-11
16,3.451365038070544e-05,1.936237355548294e-11
17,3.810989394276294e-05,2.5979839963402782e-11
18,4.2080856828235116e-05,3.485892046013533e-11
19,4.6465583065944515e-05,4.6772544218287457e-11
20,5.130718468947307e-05,6.275777975524342e-11
21,5.6653277682283805e-05,8.420615209911547e-11
22,6.255641547371269e-05,1.1298459864158378e-10
23,6.907464734058521e-05,1.515982030693401e-10
24,7.627206211405354e-05,2.0340788309787826e-10
25,8.421943474988948e-05,2.7292320014114044e-10
26,9.299490228833602e-05,3.661944149505291e-10
27,0.00010268475737219414,4.913391896969086e-10
28,0.00011338426135794871,6.592478568673237e-10
29,0.0001251986386625067,8.845324399727761e-10
30,0.00013824404661863664,1.186794733854539e-09
31,0.00015264875105731917,1.5923324441476107e-09
32,0.00016855439005877414,2.136422949112974e-09
33,0.00018611737485476186,2.866390407694935e-09
34,0.000205510369103041,3.845708844353098e-09
35,0.00022692407185393384,5.1595196799641e-09
36,0.0002505690299064503,6.9220075272110515e-09
37,0.00027667773426347995,9.286293700511043e-09
38,0.0003055068929243367,1.2457697634048591e-08
39,0.00033734001716593045,1.671148214708392e-08
40,0.0003724900470100168,2.2416602936991463e-08
41,0.0004113026428537792,3.0067510253945094e-08
42,0.000454159398728254,4.032664341562111e-08
43,0.0005014817609061661,5.40812221519708e-08
44,0.0005537349856958434,7.251902004420938e-08
45,0.000611432880956697,9.722944710275843e-08
46,0.0006751427435450954,1.303380571089569e-07
47,0.0007454910804818034,1.7468544636972065e-07
48,0.0008231694868637365,2.3406441519758388e-07
49,0.0009089417777302209,3.135338458471766e-07
50,0.0010036513942318036,4.1983292528632333e-07
51,0.0011082295543345506,5.619254546183447e-07
52,0.0012237045007345382,7.517116424389459e-07
53,0.001351211689238227,1.004956481976007e-06
54,0.0014920047608644002,1.3424878799988069e-06
55,0.0016474681597613962,1.7917377378295912e-06
56,0.001819130456473748,2.3887007676521913e-06
57,0.002008679630512744,3.180399593260684e-06
58,0.002217979371765023,4.227949890930069e-06
59,0.002449087576321559,5.610318048717261e-06
60,0.0027042767232384065,7.428851146241074e-06
61,0.0029860559754848943,9.81263616335211e-06
62,0.003297196259033773,1.2924740554683804e-05
63,0.003640756282417243,1.6969290071623442e-05
64,0.004020114512566896,2.2199384514199214e-05
65,0.004439001150653651,2.8927397507094518e-05
66,0.0049015348102570975,3.7528485841169166e-05
67,0.005412263270886987,4.8455410670516856e-05
68,0.005976208620345499,6.224378979109161e-05
69,0.006598915531975775,7.951281702103737e-05
70,0.007286507065637503,0.00010095948607889254
71,0.008045743917057384,0.0001273410886681977
72,0.008884091504395288,0.00015944234832700204
73,0.00980979332458293,0.00019802215365986612
74,0.010831949952457844,0.00024374048784359188
75,0.011960614341305941,0.0002970434921863869
76,0.01320688210758604,0.00035801251110353764
77,0.014583009402653575,0.000426241130288653
78,0.016102523887734487,0.0005008055465219748
79,0.017780370192648096,0.0005802959904877142
80,0.019633042834984883,0.0006629918786539557
81,0.021678759265828504,0.0007475141106952015
82,0.02393763542338684,0.0008337180071490906
83,0.02643188134989515,0.0009236781183920669
84,0.02918602188760936,0.001022732414940413
85,0.03210462357478849,0.0011338748933330518
86,0.035023227769876646,0.001258541219671127
87,0.03794182945705578,0.0013951447946466374
88,0.04086043114423491,0.0015393484955405223
89,0.043779032831414044,0.0016843020052524009
90,0.04669763702650219,0.0018196249863670494
91,0.04961623620577231,0.001932976286563871
92,0.052534840400860455,0.0020165976650135015
93,0.05545344459594861,0.002070055102750158
94,0.05837204377521872,0.002099491283913972
95,0.06129064797030687,0.002114313567848527
96,0.06491800731625556,0.002128192620956114
97,0.06854536666220426,0.0021560105380220903
98,0.07217272099233493,0.0022136727873459778
99,0.07580008033828363,0.0023058935263490996
100,0.07942743968423233,0.0024238679216508105
101,0.08305479903018102,0.002549296798715109
102,0.08668215336031168,0.0026611253256566686
103,0.09030951270626038,0.0027421793439730544
104,0.09393687205220907,0.002784263623819093
105,0.09756423139815777,0.002789514099375223
106,0.10119159074410647,0.0027686080341469787
107,0.10481895009005517,0.002738461270408973
108,0.10844630943600386,0.0027184764791350026
109,0.11207366878195256,0.002723667922121596
110,0.11570102812790126,0.0027588509940495594
111,0.11932837744221389,0.0028189252395119002
112,0.12295573678816259,0.0028934875203276054
113,0.12658309613411128,0.0029695561231715935
114,0.13021045548005997,0.0030329531200542032
115,0.13383781482600868,0.003072147649242538
